NEST_ID,HATCHING EXPOSURE,FLEDGING EXPOSURE,Year_Nest,Date_FirstMarked,NestMarker,WaypointCode,Elevation_metres,Latitude_WGS84,Longitude_WGS84,ASTRODOS_UTM_E,ASTRODOS_UTM_N,TYPE,PARENT 1m,PARENT 2f,PARENT3,SEASON,HATCHED,fledged,failed,cause of failure,nested before,tracked?
MASPE_2005_C11222,16,0,2005,26/05/2005,78,PI,,,,202405,8232507,NATURAL,,,,COOL,,,TRUE,,,
MASPE_2005_C1719,84,0,2005,26/05/2005,180,E3,,,,202714,8232887,NATURAL,,,,COOL,,,TRUE,,,
MASPE_2005_C1720,31.5,0,2005,26/05/2005,181,E3,,,,202714,8232887,NATURAL,,,,COOL,,,TRUE,,,
MASPE_2005_C1721,16,68,2005,26/05/2005,182,E3,,,,202714,8232887,NATURAL,,,,COOL,TRUE,TRUE,,,,
MASPE_2005_C1722,84,0,2005,26/05/2005,183,E3,,,,202714,8232887,NATURAL,,,,COOL,,,TRUE,,,
MASPE_2005_C1723,84,0,2005,26/05/2005,184,E4,,,,202800,8232825,NATURAL,,,,COOL,,,TRUE,,,
MASPE_2005_C1724,16,0,2005,26/05/2005,185,E4,,,,202800,8232825,NATURAL,,,,COOL,,,TRUE,,,
MASPE_2005_C1725,16,68,2005,26/05/2005,186,E4,,,,202800,8232825,NATURAL,,,,COOL,TRUE,TRUE,,,,
MASPE_2005_C187,16,0,2005,26/05/2005,187,E4,,,,202800,8232825,NATURAL,,,,COOL,,,TRUE,,,
MASPE_2005_C188,16,0,2005,26/05/2005,188,E4,,,,202800,8232825,NATURAL,,,,COOL,,,TRUE,,,
MASPE_2005_C189,47.5,0,2005,26/05/2005,189,E4,,,,202800,8232825,NATURAL,,,,COOL,,,TRUE,,,
MASPE_2005_C190,47.5,0,2005,26/05/2005,190,E4,,,,202800,8232825,NATURAL,,,,COOL,,,TRUE,,,
MASPE_2005_C191,39.75,7.75,2005,26/05/2005,191,E4,,,,202800,8232825,NATURAL,,,,COOL,TRUE,,TRUE,,,
MASPE_2004_H138,8.75,8.75,2004,21/12/2004,138,E4,,,,202800,8232825,NATURAL,,,,HOT,TRUE,TRUE,,,,
MASPE_2004_H148,17.5,0,2004,21/12/2004,148,E4,,,,202800,8232825,NATURAL,,,,HOT,,,TRUE,,,
MASPE_2004_H16,18.5,0,2004,01/11/2004,16,EI,,,,202731,8232855,NATURAL,,,,HOT,,,TRUE,,,
MASPE_2004_H17,43.5,0,2004,01/11/2004,17,E4,,,,202800,8232825,NATURAL,,,,HOT,,,TRUE,,,
MASPE_2004_H18,9.25,9.25,2004,01/11/2004,18,E4,,,,202800,8232825,NATURAL,,,,HOT,TRUE,,TRUE,,,
MASPE_2004_H19,43.5,41.5,2004,01/11/2004,19,E4,,,,202800,8232825,NATURAL,,,,HOT,TRUE,TRUE,,,,
MASPE_2004_H66,6.5,6.5,2004,08/12/2004,66,E3,,,,202714,8232887,NATURAL,,,,HOT,TRUE,TRUE,,,,
MASPE_2004_H86,17.5,17.5,2004,21/12/2004,86,E2,,,,202655,8232836,NATURAL,,,,HOT,TRUE,TRUE,,,,
MASPE_2004_H99,17.5,0,2004,21/12/2004,99,E3,,,,202714,8232887,NATURAL,,,,HOT,,,TRUE,,,
MASPE_2005_H11240,46.5,0,2005,21/11/2005,97,PI,,,,202405,8232507,NATURAL,,,,HOT,,,TRUE,,,
MASPE_2005_H1690,0,53,2005,25/01/2005,151,E4,,,,202800,8232825,NATURAL,,,,HOT,TRUE,TRUE,,,,
MASPE_2005_H1693,17.5,0,2005,25/01/2005,154,E4,,,,202800,8232825,NATURAL,,,,HOT,,,TRUE,,,
MASPE_2005_H1964,54,0,2005,20/12/2005,425,E3,,,,202714,8232887,NATURAL,,,,HOT,,,TRUE,,,
MASPE_2005_H2091,16,0,2005,27/01/2006,552,E4,,,,202800,8232825,NATURAL,,,,HOT,,,TRUE,,,
MASPE_2005_H2096,16,0,2005,27/01/2006,557,E4,,,,202800,8232825,NATURAL,,,,HOT,,,TRUE,,,
MASPE_2005_H2128,16,0,2005,27/01/2006,589,E4,,,,202800,8232825,NATURAL,,,,HOT,,,TRUE,,,
MASPE_2005_H2139,0,16,2005,27/01/2006,601,E4,,,,202800,8232825,NATURAL,,,,HOT,TRUE,,TRUE,,,
