Longitude,Latitude,YEAR,Date_Time,SEASON,STAGE,R6TFU,AVAILABLE,Trip_id,variable,value
-10.074233,-17.61764,2017,10/12/2017 20:59,HOT,INCUBATING,1,0,9761,Rainmm,0
-9.758514,-17.313596,2017,11/12/2017 00:59,HOT,INCUBATING,1,0,9761,Rainmm,0
-9.620673,-17.329534,2017,11/12/2017 02:59,HOT,INCUBATING,1,0,9761,Rainmm,0
-9.67405,-17.645962,2017,11/12/2017 04:59,HOT,INCUBATING,1,0,9761,Rainmm,0
-9.556952,-17.692411,2017,11/12/2017 06:59,HOT,INCUBATING,1,0,9761,Rainmm,0
-9.313114,-17.531099,2017,11/12/2017 08:59,HOT,INCUBATING,1,0,9761,Rainmm,0
-9.294001,-17.481693,2017,11/12/2017 10:59,HOT,INCUBATING,1,0,9761,Rainmm,0
-7.369635,-15.349387,2017,12/12/2017 08:59,HOT,INCUBATING,1,0,9761,Rainmm,0.358
-7.283643,-15.264287,2017,12/12/2017 10:59,HOT,INCUBATING,1,0,9761,Rainmm,0.421
-7.121366,-15.022077,2017,12/12/2017 12:59,HOT,INCUBATING,1,0,9761,Rainmm,0.313
-7.044661,-14.917804,2017,12/12/2017 14:59,HOT,INCUBATING,1,0,9761,Rainmm,8.69e-05
-7.24283,-15.482993,2017,12/12/2017 18:59,HOT,INCUBATING,1,0,9761,Rainmm,0.0475
-7.206526,-15.438134,2017,12/12/2017 20:59,HOT,INCUBATING,1,0,9761,Rainmm,0.1
-7.154438,-15.309194,2017,12/12/2017 22:59,HOT,INCUBATING,1,0,9761,Rainmm,0.191
-7.018829,-15.153446,2017,13/12/2017 00:59,HOT,INCUBATING,1,0,9761,Rainmm,0.206
-6.917274,-15.237717,2017,13/12/2017 02:59,HOT,INCUBATING,1,0,9761,Rainmm,0.108
-6.76726,-15.318392,2017,13/12/2017 04:59,HOT,INCUBATING,1,0,9761,Rainmm,0.189
-6.679105,-15.315729,2017,13/12/2017 06:59,HOT,INCUBATING,1,0,9761,Rainmm,0.265
-6.601935,-15.444345,2017,13/12/2017 08:59,HOT,INCUBATING,1,0,9761,Rainmm,0.344
-6.577777,-15.553517,2017,13/12/2017 10:59,HOT,INCUBATING,1,0,9761,Rainmm,0.423
-6.519755,-15.685647,2017,13/12/2017 12:59,HOT,INCUBATING,1,0,9761,Rainmm,0.312
-5.85638,-15.948367,2017,13/12/2017 18:59,HOT,INCUBATING,1,0,9761,Rainmm,0.0193
-5.893979,-15.840462,2017,11/12/2017 11:00,HOT,INCUBATING,1,0,9783,Rainmm,0.22
-5.866681,-15.755477,2017,11/12/2017 13:00,HOT,INCUBATING,1,0,9783,Rainmm,0.162
-5.829143,-15.876857,2017,11/12/2017 15:00,HOT,INCUBATING,1,0,9783,Rainmm,0
-5.817019,-15.919658,2017,11/12/2017 17:00,HOT,INCUBATING,1,0,9783,Rainmm,0.0496
-9.304167,-16.261975,2017,12/12/2017 13:00,HOT,INCUBATING,1,0,9784,Rainmm,0.224
-9.440848,-16.238911,2017,12/12/2017 15:00,HOT,INCUBATING,1,0,9784,Rainmm,0.0334
-9.449134,-16.247118,2017,12/12/2017 17:00,HOT,INCUBATING,1,0,9784,Rainmm,0.0713
-9.451885,-16.260806,2017,12/12/2017 19:00,HOT,INCUBATING,1,0,9784,Rainmm,0.128
-9.882472,-16.288024,2017,13/12/2017 01:00,HOT,INCUBATING,1,0,9784,Rainmm,0.334
-9.753532,-16.343758,2017,13/12/2017 03:00,HOT,INCUBATING,1,0,9784,Rainmm,0.19
-9.598736,-16.417502,2017,13/12/2017 04:59,HOT,INCUBATING,1,0,9784,Rainmm,0.32
-9.559641,-16.461217,2017,13/12/2017 06:59,HOT,INCUBATING,1,0,9784,Rainmm,0.461
-9.44512,-16.227675,2017,13/12/2017 09:00,HOT,INCUBATING,1,0,9784,Rainmm,0.596
-9.437563,-16.345907,2017,13/12/2017 10:59,HOT,INCUBATING,1,0,9784,Rainmm,0.69
-9.436695,-16.370342,2017,13/12/2017 13:00,HOT,INCUBATING,1,0,9784,Rainmm,0.51
-9.496324,-16.347508,2017,13/12/2017 14:59,HOT,INCUBATING,1,0,9784,Rainmm,0.0564
-9.520619,-16.309566,2017,13/12/2017 16:59,HOT,INCUBATING,1,0,9784,Rainmm,0.075
-10.496974,-16.355573,2017,14/12/2017 04:59,HOT,INCUBATING,1,0,9784,Rainmm,0.22
-11.24705,-16.422568,2017,14/12/2017 16:59,HOT,INCUBATING,1,0,9784,Rainmm,0.000316
-11.300473,-16.459385,2017,14/12/2017 18:59,HOT,INCUBATING,1,0,9784,Rainmm,0.00471
-11.302285,-16.532496,2017,14/12/2017 20:59,HOT,INCUBATING,1,0,9784,Rainmm,0.00726
-11.267183,-16.517655,2017,14/12/2017 22:59,HOT,INCUBATING,1,0,9784,Rainmm,0.00304
-11.314342,-16.537324,2017,15/12/2017 00:59,HOT,INCUBATING,1,0,9784,Rainmm,0.00592
-11.321569,-16.52281,2017,15/12/2017 02:59,HOT,INCUBATING,1,0,9784,Rainmm,7.74e-07
-11.334675,-16.555246,2017,15/12/2017 04:59,HOT,INCUBATING,1,0,9784,Rainmm,0
-11.348662,-16.505783,2017,15/12/2017 06:59,HOT,INCUBATING,1,0,9784,Rainmm,2.45e-05
-11.370051,-16.495668,2017,15/12/2017 08:59,HOT,INCUBATING,1,0,9784,Rainmm,0
-11.25462,-16.383702,2017,15/12/2017 10:59,HOT,INCUBATING,1,0,9784,Rainmm,0.00711
-9.333116,-15.625214,2017,16/12/2017 02:59,HOT,INCUBATING,1,0,9784,Rainmm,1.45e-05
-9.334507,-15.634208,2017,16/12/2017 04:59,HOT,INCUBATING,1,0,9784,Rainmm,0
-9.280597,-15.671792,2017,16/12/2017 06:59,HOT,INCUBATING,1,0,9784,Rainmm,0.0209
-8.650215,-16.051963,2017,16/12/2017 14:59,HOT,INCUBATING,1,0,9784,Rainmm,0.0125
-8.579879,-16.143165,2017,16/12/2017 16:59,HOT,INCUBATING,1,0,9784,Rainmm,0.0424
-7.617707,-15.570458,2017,17/12/2017 04:59,HOT,INCUBATING,1,0,9784,Rainmm,0.0345
-7.450935,-15.633623,2017,17/12/2017 06:59,HOT,INCUBATING,1,0,9784,Rainmm,0.0508
-7.284642,-15.673056,2017,17/12/2017 08:59,HOT,INCUBATING,1,0,9784,Rainmm,0.0811
-5.823493,-15.920089,2017,17/12/2017 18:59,HOT,INCUBATING,1,0,9784,Rainmm,0.305
-6.108142,-15.613847,2017,13/12/2017 08:59,HOT,INCUBATING,1,0,9792,Rainmm,0.382
-6.916848,-15.799686,2017,13/12/2017 20:59,HOT,INCUBATING,1,0,9792,Rainmm,0.075
-6.997475,-15.905288,2017,13/12/2017 22:59,HOT,INCUBATING,1,0,9792,Rainmm,0.139
-7.010619,-15.889732,2017,14/12/2017 00:59,HOT,INCUBATING,1,0,9792,Rainmm,0.125
-7.338583,-16.35577,2017,14/12/2017 04:59,HOT,INCUBATING,1,0,9792,Rainmm,0.16
-7.403871,-16.447005,2017,14/12/2017 06:59,HOT,INCUBATING,1,0,9792,Rainmm,0.229
-7.896545,-17.320004,2017,14/12/2017 12:59,HOT,INCUBATING,1,0,9792,Rainmm,0.269
-7.925225,-17.451108,2017,14/12/2017 14:59,HOT,INCUBATING,1,0,9792,Rainmm,0.0414
-7.9488,-17.459624,2017,14/12/2017 16:59,HOT,INCUBATING,1,0,9792,Rainmm,0.0791
-8.02227,-17.545241,2017,14/12/2017 18:59,HOT,INCUBATING,1,0,9792,Rainmm,0.129
-8.35661,-19.077373,2017,15/12/2017 06:59,HOT,INCUBATING,1,0,9792,Rainmm,0.0283
-8.297536,-19.204613,2017,15/12/2017 08:59,HOT,INCUBATING,1,0,9792,Rainmm,0.0509
-8.499353,-19.732653,2017,15/12/2017 12:59,HOT,INCUBATING,1,0,9792,Rainmm,0.0439
-8.54415,-19.86129,2017,15/12/2017 14:59,HOT,INCUBATING,1,0,9792,Rainmm,2.31e-05
-8.773686,-21.073644,2017,15/12/2017 22:59,HOT,INCUBATING,1,0,9792,Rainmm,0.0697
-8.760156,-21.166876,2017,16/12/2017 00:59,HOT,INCUBATING,1,0,9792,Rainmm,0.0735
-9.585257,-22.978601,2017,16/12/2017 14:59,HOT,INCUBATING,1,0,9792,Rainmm,5.46e-05
-9.025655,-20.837132,2017,17/12/2017 06:59,HOT,INCUBATING,1,0,9792,Rainmm,0.00573
-9.067675,-20.925146,2017,17/12/2017 10:59,HOT,INCUBATING,1,0,9792,Rainmm,0.00973
-8.979301,-20.677592,2017,17/12/2017 12:59,HOT,INCUBATING,1,0,9792,Rainmm,0.0327
-8.940603,-20.589242,2017,17/12/2017 14:59,HOT,INCUBATING,1,0,9792,Rainmm,1.16e-05
-8.315714,-18.594585,2017,18/12/2017 04:59,HOT,INCUBATING,1,0,9792,Rainmm,0.363
-8.255876,-18.455221,2017,18/12/2017 06:59,HOT,INCUBATING,1,0,9792,Rainmm,0.491
-8.306632,-18.505157,2017,18/12/2017 08:59,HOT,INCUBATING,1,0,9792,Rainmm,0.599
-9.600804,-21.073832,2017,19/12/2017 02:59,HOT,INCUBATING,1,0,9792,Rainmm,0.122
-9.645525,-21.209401,2017,19/12/2017 04:59,HOT,INCUBATING,1,0,9792,Rainmm,0.173
-9.617693,-20.984011,2017,19/12/2017 06:59,HOT,INCUBATING,1,0,9792,Rainmm,0.21
-9.634514,-21.03486,2017,19/12/2017 08:59,HOT,INCUBATING,1,0,9792,Rainmm,0.231
-10.055739,-21.867194,2017,19/12/2017 22:59,HOT,INCUBATING,1,0,9792,Rainmm,0.0678
-9.968646,-21.753277,2017,20/12/2017 00:59,HOT,INCUBATING,1,0,9792,Rainmm,0.059
-9.945262,-21.766992,2017,20/12/2017 02:59,HOT,INCUBATING,1,0,9792,Rainmm,0.0129
-9.903811,-21.623298,2017,20/12/2017 04:59,HOT,INCUBATING,1,0,9792,Rainmm,0.084
-9.943234,-21.624513,2017,20/12/2017 06:59,HOT,INCUBATING,1,0,9792,Rainmm,0.148
-9.64455,-20.873439,2017,20/12/2017 12:59,HOT,INCUBATING,1,0,9792,Rainmm,0.289
-9.613738,-20.769294,2017,20/12/2017 14:59,HOT,INCUBATING,1,0,9792,Rainmm,0.000246
-6.172119,-15.304389,2017,22/12/2017 04:59,HOT,INCUBATING,1,0,9792,Rainmm,0
-6.083539,-15.305543,2017,22/12/2017 06:59,HOT,INCUBATING,1,0,9792,Rainmm,0
-6.117714,-15.486142,2017,22/12/2017 08:59,HOT,INCUBATING,1,0,9792,Rainmm,0
-6.024824,-15.358547,2017,22/12/2017 10:59,HOT,INCUBATING,1,0,9792,Rainmm,0
-5.941783,-15.299114,2017,22/12/2017 13:00,HOT,INCUBATING,1,0,9792,Rainmm,0
-5.963555,-15.470447,2017,22/12/2017 14:59,HOT,INCUBATING,1,0,9792,Rainmm,0
-5.991279,-15.703275,2017,22/12/2017 16:59,HOT,INCUBATING,1,0,9792,Rainmm,0
-5.894857,-15.844232,2017,22/12/2017 18:59,HOT,INCUBATING,1,0,9792,Rainmm,0
-5.612355,-15.547622,2017,10/12/2017 00:59,HOT,INCUBATING,1,0,9801,Rainmm,0
-5.532056,-15.618704,2017,10/12/2017 02:59,HOT,INCUBATING,1,0,9801,Rainmm,0
-5.544253,-15.837694,2017,10/12/2017 04:59,HOT,INCUBATING,1,0,9801,Rainmm,0
-5.427282,-15.91929,2017,10/12/2017 06:59,HOT,INCUBATING,1,0,9801,Rainmm,0
-5.463914,-16.078398,2017,10/12/2017 08:59,HOT,INCUBATING,1,0,9801,Rainmm,0
-5.341911,-16.014582,2017,10/12/2017 10:59,HOT,INCUBATING,1,0,9801,Rainmm,0
-5.058262,-15.794654,2017,10/12/2017 14:59,HOT,INCUBATING,1,0,9801,Rainmm,1.89e-05
-5.921241,-17.130019,2017,11/12/2017 04:59,HOT,INCUBATING,1,0,9801,Rainmm,0.0556
-5.959573,-17.263374,2017,11/12/2017 06:59,HOT,INCUBATING,1,0,9801,Rainmm,0.0895
-6.392903,-18.067282,2017,11/12/2017 12:59,HOT,INCUBATING,1,0,9801,Rainmm,0.0572
-6.467787,-18.160792,2017,11/12/2017 14:59,HOT,INCUBATING,1,0,9801,Rainmm,6.05e-05
-6.523756,-18.26191,2017,11/12/2017 16:59,HOT,INCUBATING,1,0,9801,Rainmm,0
-5.961781,-17.662363,2017,12/12/2017 02:59,HOT,INCUBATING,1,0,9801,Rainmm,0.133
-5.992194,-17.708469,2017,12/12/2017 04:59,HOT,INCUBATING,1,0,9801,Rainmm,0.204
-6.134585,-18.271483,2017,12/12/2017 08:59,HOT,INCUBATING,1,0,9801,Rainmm,0.299
-6.14126,-18.300794,2017,12/12/2017 10:59,HOT,INCUBATING,1,0,9801,Rainmm,0.348
-6.264798,-18.73692,2017,12/12/2017 14:59,HOT,INCUBATING,1,0,9801,Rainmm,0.00105
-6.271066,-18.735558,2017,12/12/2017 16:59,HOT,INCUBATING,1,0,9801,Rainmm,0.0393
-6.272987,-18.732605,2017,12/12/2017 18:59,HOT,INCUBATING,1,0,9801,Rainmm,0.086
-6.226876,-18.636445,2017,12/12/2017 20:59,HOT,INCUBATING,1,0,9801,Rainmm,0.153
-6.350627,-18.910949,2017,12/12/2017 22:59,HOT,INCUBATING,1,0,9801,Rainmm,0.2
-6.42966,-19.008659,2017,13/12/2017 00:59,HOT,INCUBATING,1,0,9801,Rainmm,0.182
-6.11997,-16.885645,2017,14/12/2017 00:59,HOT,INCUBATING,1,0,9801,Rainmm,0.0914
-6.155197,-16.932722,2017,14/12/2017 02:59,HOT,INCUBATING,1,0,9801,Rainmm,0.02
-6.154299,-16.821702,2017,14/12/2017 04:59,HOT,INCUBATING,1,0,9801,Rainmm,0.0651
-6.190859,-16.7817,2017,14/12/2017 06:59,HOT,INCUBATING,1,0,9801,Rainmm,0.101
-5.949518,-15.888931,2017,14/12/2017 12:59,HOT,INCUBATING,1,0,9801,Rainmm,0.0106
-5.968302,-15.846427,2017,14/12/2017 14:59,HOT,INCUBATING,1,0,9801,Rainmm,8.34e-06
-5.873634,-15.851474,2017,14/12/2017 16:59,HOT,INCUBATING,1,0,9801,Rainmm,-1.06e-08
-7.032621,-15.927963,2017,09/12/2017 06:59,HOT,INCUBATING,1,0,9811,Rainmm,0.0723
